nom_normalise;uuid;nom_exact;niveau;parent;membres;type_groupe
"sous-groupe 1";17a87504-beee-4278-85ad-77fa75da652f;"SOUS-GROUPE 1";"SOUS_GROUPE";"SEKYO";3;meme-niveau
"sous-groupe 1";17b3659d-657b-4511-a488-e9259f320174;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS";6;meme-niveau
"sous-groupe 1";186c4db7-ae7f-4966-a523-d01fb38491ef;"SOUS-GROUPE 1";"SOUS_GROUPE";"KLOPLOU";2;meme-niveau
"sous-groupe 1";1883a18b-a47e-45ff-a274-20c8d809a24d;"SOUS-GROUPE 1";"SOUS_GROUPE";"PROVIDENCE";9;meme-niveau
"sous-groupe 1";18898a5d-40e5-4d9c-b576-2580551d5c98;"SOUS-GROUPE 1";"SOUS_GROUPE";"ZIOGOUALE";6;meme-niveau
"sous-groupe 1";1893c7ce-dd70-4113-9c81-6a57bcab0abe;"SOUS-GROUPE 1";"SOUS_GROUPE";"BONNE FORTUNE";8;meme-niveau
"sous-groupe 1";18ae33da-be29-44f2-9b27-79615e1bd0d6;"SOUS-GROUPE 1";"SOUS_GROUPE";"YROZON";0;meme-niveau
"sous-groupe 1";18b999ea-940d-42a1-9dbd-93bb23274c64;"SOUS-GROUPE 1";"SOUS_GROUPE";"AKOUEDO VILLAGE 5";2;meme-niveau
"sous-groupe 1";18bf8b5d-9d2a-452a-961b-805e5cdbfed3;"SOUS-GROUPE 1";"SOUS_GROUPE";"CITÉ CIAD BONHEUR";7;meme-niveau
"sous-groupe 1";19013b47-71a2-476c-8125-4d70946d9b36;"SOUS-GROUPE 1";"SOUS_GROUPE";"ZELE";5;meme-niveau
"sous-groupe 1";1917ee28-a1be-491c-be71-f6101fddcd9f;"SOUS-GROUPE 1";"SOUS_GROUPE";"AMAKEBOU";4;meme-niveau
"sous-groupe 1";1980c1b7-fd05-4fd6-bbbc-bd20780eaa65;"SOUS-GROUPE 1";"SOUS_GROUPE";"PILIER DE KOSEN RUFU";8;meme-niveau
"sous-groupe 1";19dded90-6e5a-4eaa-8174-1a08069d2854;"SOUS-GROUPE 1";"SOUS_GROUPE";"MAQUIE BLEU 2";3;meme-niveau
"sous-groupe 1";1a03a2cf-227a-406f-ae63-9656da01cc7f;"SOUS-GROUPE 1";"SOUS_GROUPE";"OSAKA";6;meme-niveau
"sous-groupe 1";1a14c9cc-26e9-4321-b3b0-065a1960c4dc;"SOUS-GROUPE 1";"SOUS_GROUPE";"PREUVE ACTUELLE";4;meme-niveau
"sous-groupe 1";1a2c8e25-9148-49cd-ae2c-0fbcbb735102;"SOUS-GROUPE 1";"SOUS_GROUPE";"TCHÊ";5;meme-niveau
"sous-groupe 1";1a3385b6-c786-46c1-8cd5-b62b3e3c865e;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOULEY";3;meme-niveau
"sous-groupe 1";1a482fe1-d521-4efa-84a2-e8f72f8dca45;"SOUS-GROUPE 1";"SOUS_GROUPE";"MYO";12;meme-niveau
"sous-groupe 1";1a4d230d-5a63-43fc-9c76-a1803400808d;"SOUS-GROUPE 1";"SOUS_GROUPE";"MAQUIE BLEU 1";4;meme-niveau
"sous-groupe 1";1b2c1624-2580-416b-80be-112c7c21d330;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAI DOSHIN";8;meme-niveau
"sous-groupe 1";1b5e8453-83fd-4e4f-b242-23702bcb1223;"SOUS-GROUPE 1";"SOUS_GROUPE";"ESPOIR";9;meme-niveau
"sous-groupe 1";1b82cd02-0500-4386-9ae6-dbe6da53df0f;"SOUS-GROUPE 1";"SOUS_GROUPE";"CITADELLE DE PAIX";3;meme-niveau
"sous-groupe 1";1bc26361-97c3-49b7-bd78-04e2de8c578f;"SOUS-GROUPE 1";"SOUS_GROUPE";"TOUR AUX TRESORS";7;meme-niveau
"sous-groupe 1";1bc3f28f-f9e7-4912-93cc-68e22eb8568b;"SOUS-GROUPE 1";"SOUS_GROUPE";"ECOLE SYLLA";3;meme-niveau
"sous-groupe 1";1bf6d795-c9e2-47bd-af84-6bbaafdff044;"SOUS-GROUPE 1";"SOUS_GROUPE";"Agnissankoi village";6;meme-niveau
"sous-groupe 1";1c49ecae-edaa-4dbf-aa27-db0b950cab72;"SOUS-GROUPE 1";"SOUS_GROUPE";"DALIGA";6;meme-niveau
"sous-groupe 1";1ca4fc89-5d3c-4a70-8dfe-63e6af48a7d6;"SOUS-GROUPE 1";"SOUS_GROUPE";"BENIAN";4;meme-niveau
"sous-groupe 1";1cc25f8c-c8f5-4680-aa35-59bc7957aad3;"SOUS-GROUPE 1";"SOUS_GROUPE";"ROI LION";6;meme-niveau
"sous-groupe 1";1d6da60f-6782-4389-a852-9e7f82d63d9c;"SOUS-GROUPE 1";"SOUS_GROUPE";"PERSEVERANCE";7;meme-niveau
"sous-groupe 1";1e5ed995-7a86-4aa4-af7e-2a2582ed92e5;"SOUS-GROUPE 1";"SOUS_GROUPE";"YAOKRO";9;meme-niveau
"sous-groupe 1";1e65cf8b-5bde-4233-b305-6b539b46dd63;"SOUS-GROUPE 1";"SOUS_GROUPE";"SIX ACTES DIFFICILLES";3;meme-niveau
"sous-groupe 1";1e83068b-dc96-4e58-9e04-f27efce18ee6;"SOUS-GROUPE 1";"SOUS_GROUPE";"PADRE";4;meme-niveau
"sous-groupe 1";1ece14ad-bef0-43aa-a618-811bb0b244ab;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLÈFÊ";3;meme-niveau
"sous-groupe 1";1edfaf32-0afb-4ec5-9d88-5f570e061e62;"SOUS-GROUPE 1";"SOUS_GROUPE";"BOKEDA";4;meme-niveau
"sous-groupe 1";1efbdfc7-c40a-4d08-bcf6-10f9d26b4933;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAI DOSHIN";6;meme-niveau
"sous-groupe 1";1f1b3a44-2364-472b-8b0b-f86fe74508f7;"SOUS-GROUPE 1";"SOUS_GROUPE";"ESHO FUNI";7;meme-niveau
"sous-groupe 1";1f645e3a-7252-438f-8810-7d42d9f19bc4;"SOUS-GROUPE 1";"SOUS_GROUPE";"KOUA-DOH";3;meme-niveau
"sous-groupe 1";1f72f021-699b-462b-922d-6c95580ef7e2;"SOUS-GROUPE 1";"SOUS_GROUPE";"AKANDJE";8;meme-niveau
