ville;city_uuid;membres_non_desservis;type
"BRIHI";0daad8ac-06f1-441f-903b-8d98d3782546;3;ville_sans_zone
"DJEKANOU";0406f2fb-996e-4127-8886-c744b5ef9308;3;ville_sans_zone
"Doropo";4f8e57df-f3a6-4226-b4e9-5633d8b40127;3;ville_sans_zone
"Konankro";19b90680-25e2-4ac5-a18b-352fa12a8182;3;ville_sans_zone
"DERRIERE WARF";80191767-03b5-4219-9d7e-28ed49a032bb;3;ville_sans_zone
"MOSSIKRO";63d67d98-c57d-4545-a8af-1236e305b23e;3;ville_sans_zone
"SIDECI";17b7337e-74fe-4914-bafc-0a70dfaa7b87;3;ville_sans_zone
"ADJAME LATIN";c56271d1-b4d8-4728-885f-355372194c44;3;ville_sans_zone
"Niakaramandougou";d2f1449d-1197-44fb-b604-2735e8f0168d;3;ville_sans_zone
"Maféré";0a28976f-4d70-45e9-af9a-a885f9204cc3;3;ville_sans_zone
"Dianra-Village";3bd913ae-57bf-42b2-bf54-ceac526c958d;3;ville_sans_zone
"Krégbé";8d1cea48-6252-402c-9bf3-d67c0e0bfceb;3;ville_sans_zone
"LEBAM";c48c18a0-327f-4ad7-9795-88bb80e4ac56;3;ville_sans_zone
"petit bassam";591edb51-9592-4f51-88d7-3c0a9e990de3;3;ville_sans_zone
"VRIDI CANAL";13243ae1-3ad8-410f-baf1-36cd4f99d490;3;ville_sans_zone
"BOODA/TONLA";fe0282cc-61ac-44e1-9d85-19b4a0e1f940;3;ville_sans_zone
"Gesco";aba16394-baea-4a05-93f1-c26632bd9983;3;ville_sans_zone
"GRAND GBASSI";b31ce914-470e-4cf9-b107-6afcf5f8f635;3;ville_sans_zone
"GENDARMERIE 32";776414bd-d985-44ce-adec-67c702766a45;3;ville_sans_zone
"AYEWAHI";b9630ee1-035b-4951-bd71-0cd30c0e6903;3;ville_sans_zone
"GUEYO";e52dd95f-9a90-4947-a950-848ae9202fe7;3;ville_sans_zone
"BLOLEQUIN";85fb9260-532f-4b55-8bad-7d5c5cbe9690;3;ville_sans_zone
"ZOKROBOUO";cd54dfd2-90e9-43bb-94f0-527759dd820e;3;ville_sans_zone
"Sogefia";e43bf4cf-9130-4278-b1bd-fafd66ad2470;3;ville_sans_zone
"Taabo";a9c7387d-4aff-4c0c-8ffa-6f54c88da93f;3;ville_sans_zone
"GONATE";be409bc3-ca21-4077-9b51-2c8cf610a2a0;3;ville_sans_zone
"RIVERA GOLF";31baae7f-773b-4446-8730-a99a4a397915;2;ville_sans_zone
"BABA /SAN PEDRO";8a260500-f332-4944-bdb6-0c4f32fda8ee;2;ville_sans_zone
"FRESCO";5810b6b6-46b8-4ba7-b2b2-88a45285d44f;2;ville_sans_zone
"DJIMKPAREDOUO";0c2883c5-f093-4a79-8497-6f3beef0c912;2;ville_sans_zone
"Kolia";a4ed1cec-9e55-467c-bdf7-bcae10249d7a;2;ville_sans_zone
"TIPADIPA";8a087f05-53e3-4248-8956-cb0ce81ca222;2;ville_sans_zone
"SOPIM";64e91906-76db-4bd3-9636-9efb2011a4ff;2;ville_sans_zone
"NIOUBOUA";25e3747c-b7dd-43cf-9f9b-3f45839bba72;2;ville_sans_zone
"PORT-BOUET OCEAN";bac212af-aa1e-48f2-a921-3432c60fa54b;2;ville_sans_zone
"ZAGUIGUIA";ba70d5fc-a0be-46dc-a140-13c78aea5c88;2;ville_sans_zone
"Remblais";e5d7297b-77cb-417c-a7b0-b931eaec384e;2;ville_sans_zone
"YOKOBOUE";8c7da27f-f6cc-42cf-8de9-f993a7d2b4fe;2;ville_sans_zone
"Koonan";b2ad3195-c1b0-4feb-9598-add2fd09a960;2;ville_sans_zone
"FANNY";de61fcc5-3c03-4c52-a159-9c1adf0558c4;2;ville_sans_zone
"YOPOUGON (MILLIONNAIRE)";0cbcfa94-49ea-4f2d-8073-5c9c38305612;2;ville_sans_zone
"Satama-Sokoura";409284ed-a4d0-424f-8f18-c40ae80ad717;2;ville_sans_zone
"Serifina";4913a0d0-a3e6-482f-926f-8ef4c3f46a99;2;ville_sans_zone
"Tanda";6942ce32-662d-4521-b065-bd79c6d1e39f;2;ville_sans_zone
"SIDECI T42";0975a9c0-621d-428f-8fd5-e5e9eaf36b04;2;ville_sans_zone
"Azaguie-ahoua";7ed2ab79-3c92-4e4e-9bb0-fbbcc3e584e2;2;ville_sans_zone
"Ahouabo";43b68f71-4f0a-4b23-b3a3-abba05c642d3;2;ville_sans_zone
"TAGOURA";04b0c7af-cc81-44fa-893d-487598d9101d;2;ville_sans_zone
"Tafiré";e308efd6-fb94-4103-a8f8-03632b8efe02;2;ville_sans_zone
"COCODY CITE DES ARTS";f7908770-7aa5-4af7-802c-b357b081b79e;2;ville_sans_zone
"ALLOKOKRO";327521c3-7b36-43c9-b0f8-cfaa2b0bcd0f;2;ville_sans_zone
"BEZIAKA";29cb9e3d-f563-4011-a121-65e6f63badeb;2;ville_sans_zone
"Guitry";51510fbe-08af-4526-866e-5065c5ef5677;2;ville_sans_zone
"BABA";b84256ec-a720-40dc-9f2e-0524d007e6b8;2;ville_sans_zone
"DJEBONOUA";8e6bf237-463e-4d4e-9c6c-6bddc75dd44f;2;ville_sans_zone
"GONZAGUEVILLE 2 POTEAUX";546b125d-e7f9-40dc-b070-ac80c572df01;2;ville_sans_zone
"Logroan (Daloa Sud)";87501acd-7ed1-4ba8-bf4b-671c648147c8;2;ville_sans_zone
"BELIEHOA";77105bc8-0329-4700-9680-345aea0baf11;2;ville_sans_zone
"Soukourougban";d1d68ffe-6f80-45e3-a57c-882b27e63cb5;2;ville_sans_zone
"AHOUANOU2";078e084d-e1a2-49ed-9744-75c4278713cd;2;ville_sans_zone
"GOMENEBERI";050ca1ce-12a1-4cc7-bc7d-566bdbb4d7ec;2;ville_sans_zone
"Résidentiel";4a98e5b4-1300-4095-92af-3daa76eec372;2;ville_sans_zone
"ANGODA(TOUMODI)";73edfe29-443b-43ac-b760-de943bd114b9;2;ville_sans_zone
"Koukroutié";8a076462-e87f-42ff-91e5-80625b8226ea;2;ville_sans_zone
"CNRA/SAVANE/DABOU";7d23e165-28ca-467b-a584-45e7c170fddb;2;ville_sans_zone
"DIAPOTO MORONOU";4b6e3f6f-4e62-4184-98c4-058a6bad321c;2;ville_sans_zone
"ABAKRO";df1d134f-3ed3-4a33-bb69-fc7d751317e2;2;ville_sans_zone
"KEBI/BOUNDIALI";f3707d34-ac38-4d63-995d-cc430046450d;2;ville_sans_zone
"SAMO";85e689d1-2022-4c87-8ac6-c5793908a17c;2;ville_sans_zone
"TIENKOULA";50c4bdd9-67b0-4d35-9841-18369dc4f0c3;2;ville_sans_zone
"GOKPO";c304a5ce-8e0f-44a5-9ce9-805555ece7e0;2;ville_sans_zone
"SIDECI YOPOUGON";d4976e42-7828-4e9b-8ec7-d7f9e4b54b16;2;ville_sans_zone
"DJEDJEDIGBEUPA";a2534c8a-15b6-47c0-b020-e5649989e41e;2;ville_sans_zone
"QUARTIER DIVO";0b857f77-9cf4-4f38-8658-7655adae316f;2;ville_sans_zone
"AKAKRO";7e9e0e34-af08-491a-aa84-937990a00598;2;ville_sans_zone
"LOUHA";85324ac1-16e6-4f84-adf5-6f245f136c34;2;ville_sans_zone
"GAOULOU/SASSANDRA";d29e5827-e370-402e-8606-c92e8915a26e;2;ville_sans_zone
